iter	Logloss
0	0.6895558039
1	0.6882053375
2	0.6860608419
3	0.684316508
4	0.6813026428
5	0.679457283
6	0.6783720652
7	0.6753448486
8	0.67409935
9	0.6716866811
10	0.6701356252
11	0.6683945974
12	0.6656709035
13	0.6634471893
14	0.6619346619
15	0.6602793376
16	0.6583395004
17	0.6561195374
18	0.6539491653
19	0.6516825358
20	0.6497208913
21	0.6474568685
22	0.6468496323
23	0.6449750264
24	0.6431039174
25	0.6414274851
26	0.6385215123
27	0.6369344076
28	0.6361564636
29	0.6340048472
30	0.6328050613
31	0.6306673686
32	0.6295441945
33	0.6271919886
34	0.6259768804
35	0.623761495
36	0.6226469676
37	0.6210816701
38	0.6182032267
39	0.6176681519
40	0.6169497808
41	0.6150529226
42	0.6128087997
43	0.6099042257
44	0.6095338186
45	0.6071570714
46	0.6057917277
47	0.604140536
48	0.6020406087
49	0.6004089991
50	0.5990194956
51	0.5968887329
52	0.5961959839
53	0.594753774
54	0.5935704549
55	0.5926462809
56	0.5903630575
57	0.5893685659
58	0.5887628555
59	0.5873676936
60	0.5858107249
61	0.5847600301
62	0.583055687
63	0.5816424688
64	0.57938296
65	0.5782235463
66	0.5774282455
67	0.5764407476
68	0.5754395803
69	0.5748049418
70	0.5738377253
71	0.57282842
72	0.57149086
73	0.5707082113
74	0.5690633138
75	0.5678913116
76	0.5669905345
77	0.5653409322
78	0.5642851512
79	0.562849172
80	0.5621670405
81	0.5614251455
82	0.5601996104
83	0.5598608653
84	0.5588169098
85	0.5579880397
86	0.5568068822
87	0.5564674377
88	0.5553662618
89	0.5538848877
90	0.5525025686
91	0.5512617747
92	0.5504253387
93	0.5495319366
94	0.5484475454
95	0.545553716
96	0.5442573547
97	0.5424627304
98	0.5413300832
99	0.5406033834
100	0.5393583298
101	0.5391157786
102	0.538247935
103	0.5363422394
104	0.5349580129
105	0.5328596115
106	0.5325445175
107	0.531542333
108	0.5309899966
109	0.5297675451
110	0.5289546331
111	0.5279596647
112	0.5274762472
113	0.5263380051
114	0.525633653
115	0.5248735428
116	0.5238175074
117	0.522951889
118	0.5210457484
119	0.52062397
120	0.5196941058
121	0.5188783328
122	0.5181720098
123	0.5176196734
124	0.5159131368
125	0.5152708689
126	0.5143047333
127	0.5131509145
128	0.5116624196
129	0.5112211227
130	0.5087909063
131	0.5068659465
132	0.5055131912
133	0.5051023165
134	0.5043847402
135	0.5038143794
136	0.502852567
137	0.5019126574
138	0.5002590179
139	0.4997253418
140	0.4991065343
141	0.4978594144
142	0.4969838778
143	0.4966800054
144	0.4964021047
145	0.4951505025
146	0.4943512599
147	0.4938268026
148	0.4932271004
149	0.4928007762
150	0.4922907511
151	0.4918807348
152	0.4900623957
153	0.4886352539
154	0.4882628123
155	0.4873089472
156	0.4866540273
157	0.4863060633
158	0.4854818344
159	0.4849172274
160	0.484564654
161	0.4840796789
162	0.4836425145
163	0.4831715902
164	0.4828967412
165	0.4823981603
166	0.4816051801
167	0.4807730357
168	0.4798991521
169	0.4794862111
170	0.4784897486
171	0.4779400508
172	0.4777439117
173	0.4767556508
174	0.4762355487
175	0.4752691905
176	0.4747282028
177	0.4740015348
178	0.4727149328
179	0.4718355815
180	0.4706138293
181	0.4701896985
182	0.4689183235
183	0.4682297071
184	0.4672504107
185	0.4666522344
186	0.4662260373
187	0.4658859253
188	0.4650077184
189	0.4641362508
190	0.4636784236
191	0.4627041499
192	0.4623524666
193	0.4617733637
194	0.4612562815
195	0.4605922381
196	0.4598122279
197	0.4585830688
198	0.4583732605
199	0.4576886495
