iter	Passed	Remaining
0	2	424
1	4	412
2	6	422
3	8	412
4	10	412
5	12	404
6	14	403
7	18	435
8	20	427
9	22	423
10	24	417
11	26	409
12	28	404
13	30	402
14	32	399
15	34	396
16	36	392
17	38	389
18	40	385
19	42	381
20	44	378
21	46	375
22	48	372
23	50	369
24	52	365
25	54	362
26	56	359
27	58	356
28	60	354
29	61	350
30	63	348
31	65	346
32	67	343
33	69	340
34	71	338
35	73	336
36	75	333
37	77	331
38	79	328
39	81	326
40	83	324
41	85	321
42	87	320
43	90	319
44	91	316
45	93	314
46	95	312
47	97	310
48	100	309
49	102	308
50	104	305
51	106	303
52	108	301
53	110	298
54	112	296
55	114	293
56	116	293
57	119	293
58	122	291
59	123	289
60	125	286
61	127	284
62	130	282
63	133	283
64	136	284
65	138	282
66	140	278
67	142	276
68	144	273
69	146	271
70	149	271
71	151	269
72	153	266
73	155	264
74	157	262
75	159	259
76	161	257
77	164	256
78	166	254
79	167	251
80	169	249
81	171	247
82	173	244
83	175	242
84	178	241
85	180	238
86	181	236
87	184	234
88	186	232
89	187	229
90	189	227
91	191	225
92	193	223
93	195	220
94	197	218
95	199	216
96	201	214
97	203	211
98	205	209
99	208	208
100	210	206
101	212	204
102	214	201
103	216	200
104	218	197
105	220	195
106	221	192
107	224	190
108	226	188
109	228	186
110	230	184
111	232	182
112	234	180
113	236	178
114	238	176
115	240	174
116	242	172
117	244	170
118	246	167
119	248	165
120	250	163
121	252	161
122	254	159
123	256	157
124	258	155
125	260	152
126	262	150
127	264	148
128	266	146
129	268	144
130	270	142
131	273	140
132	275	138
133	277	136
134	279	134
135	281	132
136	283	130
137	285	128
138	288	126
139	290	124
140	292	122
141	294	120
142	296	118
143	298	116
144	300	113
145	302	111
146	305	110
147	307	107
148	309	105
149	311	103
150	313	101
151	315	99
152	317	97
153	320	95
154	322	93
155	323	91
156	326	89
157	328	87
158	330	85
159	331	82
160	334	81
161	336	78
162	338	76
163	340	74
164	342	72
165	344	70
166	346	68
167	348	66
168	350	64
169	352	62
170	354	60
171	356	58
172	358	55
173	360	53
174	361	51
175	363	49
176	365	47
177	367	45
178	369	43
179	373	41
180	376	39
181	378	37
182	381	35
183	384	33
184	387	31
185	389	29
186	392	27
187	394	25
188	395	23
189	397	20
190	399	18
191	401	16
192	403	14
193	405	12
194	407	10
195	409	8
196	411	6
197	413	4
198	415	2
199	417	0
