city,latitude,longitude,temperature,humidity,pressure,wind_speed,rainfall
Delhi,28.6139,77.2090,38,30,1008,9,0
Mumbai,19.0760,72.8777,31,78,1012,14,8
Bengaluru,12.9716,77.5946,27,58,1015,11,1
Chennai,13.0827,80.2707,34,73,1010,16,4
Kolkata,22.5726,88.3639,33,70,1009,10,3
Hyderabad,17.3850,78.4867,32,45,1011,8,0
Pune,18.5204,73.8567,29,56,1013,10,2
Ahmedabad,23.0225,72.5714,39,27,1007,13,0
Jaipur,26.9124,75.7873,37,24,1008,12,0
Lucknow,26.8467,80.9462,35,43,1010,9,1
Shimla,31.1048,77.1734,22,66,1016,9,2
Dehradun,30.3165,78.0322,27,60,1012,8,1
Bhopal,23.2599,77.4126,34,48,1011,10,0
Patna,25.5941,85.1376,36,55,1009,11,0
Ranchi,23.3441,85.3096,31,58,1011,8,2
Chandigarh,30.7333,76.7794,34,41,1010,9,0
Srinagar,34.0837,74.7973,20,61,1017,7,1
Nagpur,21.1458,79.0882,36,40,1010,10,0
Visakhapatnam,17.6868,83.2185,32,75,1012,15,3
Kochi,9.9312,76.2673,30,82,1013,14,7
